div,season,phase,date,home,away,fh,fa
JAP,2026,regional-east,,JEF United Chiba,Kashima Antlers,0,2
JAP,2026,regional-east,,JEF United Chiba,Kawasaki Frontale,0,0
JAP,2026,regional-east,,JEF United Chiba,Kashiwa Reysol,2,1
JAP,2026,regional-east,,JEF United Chiba,Machida Zelvia,0,2
JAP,2026,regional-east,,JEF United Chiba,Mito HollyHock,1,1
JAP,2026,regional-east,,JEF United Chiba,FC Tokyo,1,2
JAP,2026,regional-east,,JEF United Chiba,Tokyo Verdy,3,2
JAP,2026,regional-east,,JEF United Chiba,Urawa Red Diamonds,0,2
JAP,2026,regional-east,,JEF United Chiba,Yokohama F. Marinos,2,3
JAP,2026,regional-east,,Kashima Antlers,JEF United Chiba,2,1
JAP,2026,regional-east,,Kashima Antlers,Kawasaki Frontale,1,0
JAP,2026,regional-east,,Kashima Antlers,Kashiwa Reysol,2,0
JAP,2026,regional-east,,Kashima Antlers,Machida Zelvia,1,1
JAP,2026,regional-east,,Kashima Antlers,Mito HollyHock,3,0
JAP,2026,regional-east,,Kashima Antlers,FC Tokyo,1,0
JAP,2026,regional-east,,Kashima Antlers,Tokyo Verdy,2,0
JAP,2026,regional-east,,Kashima Antlers,Urawa Red Diamonds,1,0
JAP,2026,regional-east,,Kashima Antlers,Yokohama F. Marinos,1,0
JAP,2026,regional-east,,Kawasaki Frontale,JEF United Chiba,2,1
JAP,2026,regional-east,,Kawasaki Frontale,Kashima Antlers,0,2
JAP,2026,regional-east,,Kawasaki Frontale,Kashiwa Reysol,5,3
JAP,2026,regional-east,,Kawasaki Frontale,Machida Zelvia,1,1
JAP,2026,regional-east,,Kawasaki Frontale,Mito HollyHock,2,2
JAP,2026,regional-east,,Kawasaki Frontale,FC Tokyo,1,2
JAP,2026,regional-east,,Kawasaki Frontale,Tokyo Verdy,1,0
JAP,2026,regional-east,,Kawasaki Frontale,Urawa Red Diamonds,3,2
JAP,2026,regional-east,,Kawasaki Frontale,Yokohama F. Marinos,0,5
