div,season,phase,date,home,away,fh,fa
RUS,2025-26,regular,,Dynamo Makhachkala,Zenit Saint Petersburg,0,1
RUS,2025-26,regular,,Dynamo Moscow,Akhmat Grozny,2,2
RUS,2025-26,regular,,Dynamo Moscow,Akron Tolyatti,1,2
RUS,2025-26,regular,,Dynamo Moscow,Baltika Kaliningrad,1,1
RUS,2025-26,regular,,Dynamo Moscow,CSKA Moscow,1,3
RUS,2025-26,regular,,Dynamo Moscow,Dynamo Makhachkala,3,0
RUS,2025-26,regular,,Dynamo Moscow,Krasnodar,2,1
RUS,2025-26,regular,,Dynamo Moscow,Krylia Sovetov Samara,4,0
RUS,2025-26,regular,,Dynamo Moscow,Lokomotiv Moscow,3,5
RUS,2025-26,regular,,Dynamo Moscow,Orenburg,3,3
RUS,2025-26,regular,,Dynamo Moscow,Pari Nizhny Novgorod,3,0
RUS,2025-26,regular,,Dynamo Moscow,Rostov,1,0
RUS,2025-26,regular,,Dynamo Moscow,Rubin Kazan,0,1
RUS,2025-26,regular,,Dynamo Moscow,Sochi,2,0
RUS,2025-26,regular,,Dynamo Moscow,Spartak Moscow,2,2
RUS,2025-26,regular,,Dynamo Moscow,Zenit Saint Petersburg,1,3
RUS,2025-26,regular,,Krasnodar,Akhmat Grozny,2,0
RUS,2025-26,regular,,Krasnodar,Akron Tolyatti,2,1
RUS,2025-26,regular,,Krasnodar,Baltika Kaliningrad,2,2
RUS,2025-26,regular,,Krasnodar,CSKA Moscow,3,2
RUS,2025-26,regular,,Krasnodar,Dynamo Makhachkala,2,1
RUS,2025-26,regular,,Krasnodar,Dynamo Moscow,1,0
RUS,2025-26,regular,,Krasnodar,Krylia Sovetov Samara,5,0
RUS,2025-26,regular,,Krasnodar,Lokomotiv Moscow,1,2
RUS,2025-26,regular,,Krasnodar,Orenburg,3,0
RUS,2025-26,regular,,Krasnodar,Pari Nizhny Novgorod,5,0
RUS,2025-26,regular,,Krasnodar,Rostov,2,1
RUS,2025-26,regular,,Krasnodar,Rubin Kazan,1,0
RUS,2025-26,regular,,Krasnodar,Sochi,5,1
RUS,2025-26,regular,,Krasnodar,Spartak Moscow,2,1
RUS,2025-26,regular,,Krasnodar,Zenit Saint Petersburg,0,2
RUS,2025-26,regular,,Krylia Sovetov Samara,Akhmat Grozny,2,2
RUS,2025-26,regular,,Krylia Sovetov Samara,Akron Tolyatti,4,1
RUS,2025-26,regular,,Krylia Sovetov Samara,Baltika Kaliningrad,1,1
RUS,2025-26,regular,,Krylia Sovetov Samara,CSKA Moscow,1,1
RUS,2025-26,regular,,Krylia Sovetov Samara,Dynamo Makhachkala,2,0
RUS,2025-26,regular,,Krylia Sovetov Samara,Dynamo Moscow,2,3
RUS,2025-26,regular,,Krylia Sovetov Samara,Krasnodar,0,6
RUS,2025-26,regular,,Krylia Sovetov Samara,Lokomotiv Moscow,2,0
RUS,2025-26,regular,,Krylia Sovetov Samara,Orenburg,1,1
RUS,2025-26,regular,,Krylia Sovetov Samara,Pari Nizhny Novgorod,2,0
RUS,2025-26,regular,,Krylia Sovetov Samara,Rostov,2,0
RUS,2025-26,regular,,Krylia Sovetov Samara,Rubin Kazan,0,0
RUS,2025-26,regular,,Krylia Sovetov Samara,Sochi,2,0
RUS,2025-26,regular,,Krylia Sovetov Samara,Spartak Moscow,2,1
RUS,2025-26,regular,,Krylia Sovetov Samara,Zenit Saint Petersburg,1,1
RUS,2025-26,regular,,Lokomotiv Moscow,Akhmat Grozny,2,2
RUS,2025-26,regular,,Lokomotiv Moscow,Akron Tolyatti,5,1
RUS,2025-26,regular,,Lokomotiv Moscow,Baltika Kaliningrad,1,0
RUS,2025-26,regular,,Lokomotiv Moscow,CSKA Moscow,3,0
RUS,2025-26,regular,,Lokomotiv Moscow,Dynamo Makhachkala,1,1
RUS,2025-26,regular,,Lokomotiv Moscow,Dynamo Moscow,1,1
RUS,2025-26,regular,,Lokomotiv Moscow,Krasnodar,1,1
RUS,2025-26,regular,,Lokomotiv Moscow,Krylia Sovetov Samara,2,2
RUS,2025-26,regular,,Lokomotiv Moscow,Orenburg,1,0
RUS,2025-26,regular,,Lokomotiv Moscow,Pari Nizhny Novgorod,2,1
RUS,2025-26,regular,,Lokomotiv Moscow,Rostov,3,3
RUS,2025-26,regular,,Lokomotiv Moscow,Rubin Kazan,1,0
RUS,2025-26,regular,,Lokomotiv Moscow,Sochi,3,0
RUS,2025-26,regular,,Lokomotiv Moscow,Spartak Moscow,4,2
RUS,2025-26,regular,,Lokomotiv Moscow,Zenit Saint Petersburg,0,0
RUS,2025-26,regular,,Orenburg,Akhmat Grozny,2,2
RUS,2025-26,regular,,Orenburg,Akron Tolyatti,2,0
RUS,2025-26,regular,,Orenburg,Baltika Kaliningrad,0,0
RUS,2025-26,regular,,Orenburg,CSKA Moscow,0,0
RUS,2025-26,regular,,Orenburg,Dynamo Makhachkala,1,1
RUS,2025-26,regular,,Orenburg,Dynamo Moscow,1,3
RUS,2025-26,regular,,Orenburg,Krasnodar,0,1
RUS,2025-26,regular,,Orenburg,Krylia Sovetov Samara,1,0
RUS,2025-26,regular,,Orenburg,Lokomotiv Moscow,0,1
RUS,2025-26,regular,,Orenburg,Pari Nizhny Novgorod,2,1
RUS,2025-26,regular,,Orenburg,Rostov,0,1
RUS,2025-26,regular,,Orenburg,Rubin Kazan,2,2
