div,season,phase,date,home,away,fh,fa
SUI,2026-27,regular,,Basel,Lausanne-Sport,0,1
SUI,2026-27,regular,,Basel,Sion,1,2
SUI,2026-27,regular,,Basel,Thun,4,2
SUI,2026-27,regular,,Grasshopper,Lugano,1,4
SUI,2026-27,regular,,Grasshopper,St. Gallen,2,0
SUI,2026-27,regular,,Grasshopper,Zürich,2,2
SUI,2026-27,regular,,Lausanne-Sport,Grasshopper,1,1
SUI,2026-27,regular,,Lausanne-Sport,Young Boys,2,2
SUI,2026-27,regular,,Lausanne-Sport,Zürich,2,3
SUI,2026-27,regular,,Lugano,Servette,1,0
SUI,2026-27,regular,,Lugano,Vaduz,2,1
SUI,2026-27,regular,,Lugano,Zürich,5,0
SUI,2026-27,regular,,Luzern,Lausanne-Sport,1,0
SUI,2026-27,regular,,Luzern,Thun,1,3
SUI,2026-27,regular,,Luzern,Vaduz,2,1
SUI,2026-27,regular,,Servette,Basel,0,1
SUI,2026-27,regular,,Servette,Grasshopper,2,1
SUI,2026-27,regular,,Servette,Luzern,1,1
SUI,2026-27,regular,,Sion,Lugano,1,2
SUI,2026-27,regular,,Sion,Luzern,3,0
SUI,2026-27,regular,,Sion,Vaduz,3,2
SUI,2026-27,regular,,St. Gallen,Luzern,2,2
SUI,2026-27,regular,,St. Gallen,Thun,3,4
SUI,2026-27,regular,,St. Gallen,Zürich,2,1
SUI,2026-27,regular,,Thun,Lausanne-Sport,0,0
SUI,2026-27,regular,,Thun,Young Boys,0,6
SUI,2026-27,regular,,Vaduz,Grasshopper,5,2
SUI,2026-27,regular,,Vaduz,Lausanne-Sport,3,1
SUI,2026-27,regular,,Vaduz,St. Gallen,2,3
SUI,2026-27,regular,,Young Boys,Basel,3,3
SUI,2026-27,regular,,Young Boys,Luzern,3,3
SUI,2026-27,regular,,Young Boys,Sion,4,2
SUI,2026-27,regular,,Young Boys,Vaduz,4,2
SUI,2026-27,regular,,Zürich,Basel,1,2
SUI,2026-27,regular,,Zürich,Servette,2,1
SUI,2026-27,regular,,Zürich,Young Boys,2,4
