div,season,phase,date,home,away,fh,fa
CHN,2025,regular,,Beijing Guoan,Changchun Yatai,2,1
CHN,2025,regular,,Beijing Guoan,Chengdu Rongcheng,1,1
CHN,2025,regular,,Beijing Guoan,Dalian Yingbo,4,2
CHN,2025,regular,,Beijing Guoan,Henan,1,0
CHN,2025,regular,,Beijing Guoan,Meizhou Hakka,5,1
CHN,2025,regular,,Beijing Guoan,Qingdao Hainiu,2,4
CHN,2025,regular,,Beijing Guoan,Qingdao West Coast,1,0
CHN,2025,regular,,Beijing Guoan,Shandong Taishan,6,1
CHN,2025,regular,,Beijing Guoan,Shanghai Port,2,3
CHN,2025,regular,,Beijing Guoan,Shanghai Shenhua,1,3
CHN,2025,regular,,Beijing Guoan,Shenzhen Peng City,3,1
CHN,2025,regular,,Beijing Guoan,Tianjin Jinmen Tiger,2,2
CHN,2025,regular,,Beijing Guoan,Wuhan Three Towns,4,0
CHN,2025,regular,,Beijing Guoan,Yunnan Yukun,2,1
CHN,2025,regular,,Beijing Guoan,Zhejiang,2,0
CHN,2025,regular,,Changchun Yatai,Beijing Guoan,0,4
CHN,2025,regular,,Changchun Yatai,Chengdu Rongcheng,1,2
CHN,2025,regular,,Changchun Yatai,Dalian Yingbo,0,2
CHN,2025,regular,,Changchun Yatai,Henan,0,1
CHN,2025,regular,,Changchun Yatai,Meizhou Hakka,1,0
CHN,2025,regular,,Changchun Yatai,Qingdao Hainiu,2,2
CHN,2025,regular,,Changchun Yatai,Qingdao West Coast,1,0
CHN,2025,regular,,Changchun Yatai,Shandong Taishan,1,2
CHN,2025,regular,,Changchun Yatai,Shanghai Port,1,3
CHN,2025,regular,,Changchun Yatai,Shanghai Shenhua,1,2
CHN,2025,regular,,Changchun Yatai,Shenzhen Peng City,1,0
CHN,2025,regular,,Changchun Yatai,Tianjin Jinmen Tiger,1,2
CHN,2025,regular,,Changchun Yatai,Wuhan Three Towns,1,1
CHN,2025,regular,,Changchun Yatai,Yunnan Yukun,0,0
CHN,2025,regular,,Changchun Yatai,Zhejiang,3,3
CHN,2025,regular,,Chengdu Rongcheng,Beijing Guoan,2,0
CHN,2025,regular,,Chengdu Rongcheng,Changchun Yatai,1,0
CHN,2025,regular,,Chengdu Rongcheng,Dalian Yingbo,2,0
CHN,2025,regular,,Chengdu Rongcheng,Henan,1,2
CHN,2025,regular,,Chengdu Rongcheng,Meizhou Hakka,3,1
CHN,2025,regular,,Chengdu Rongcheng,Qingdao Hainiu,0,0
CHN,2025,regular,,Chengdu Rongcheng,Qingdao West Coast,1,1
CHN,2025,regular,,Chengdu Rongcheng,Shandong Taishan,2,1
CHN,2025,regular,,Chengdu Rongcheng,Shanghai Port,4,1
CHN,2025,regular,,Chengdu Rongcheng,Shanghai Shenhua,1,0
CHN,2025,regular,,Chengdu Rongcheng,Shenzhen Peng City,5,0
CHN,2025,regular,,Chengdu Rongcheng,Tianjin Jinmen Tiger,1,2
CHN,2025,regular,,Chengdu Rongcheng,Wuhan Three Towns,1,0
CHN,2025,regular,,Chengdu Rongcheng,Yunnan Yukun,1,1
CHN,2025,regular,,Chengdu Rongcheng,Zhejiang,2,1
CHN,2025,regular,,Dalian Yingbo,Beijing Guoan,0,2
CHN,2025,regular,,Dalian Yingbo,Changchun Yatai,2,0
CHN,2025,regular,,Dalian Yingbo,Chengdu Rongcheng,0,2
CHN,2025,regular,,Dalian Yingbo,Henan,1,0
CHN,2025,regular,,Dalian Yingbo,Meizhou Hakka,1,0
CHN,2025,regular,,Dalian Yingbo,Qingdao Hainiu,2,0
CHN,2025,regular,,Dalian Yingbo,Qingdao West Coast,0,2
CHN,2025,regular,,Dalian Yingbo,Shandong Taishan,2,0
CHN,2025,regular,,Dalian Yingbo,Shanghai Port,0,1
CHN,2025,regular,,Dalian Yingbo,Shanghai Shenhua,0,3
CHN,2025,regular,,Dalian Yingbo,Shenzhen Peng City,2,1
CHN,2025,regular,,Dalian Yingbo,Tianjin Jinmen Tiger,1,1
CHN,2025,regular,,Dalian Yingbo,Wuhan Three Towns,0,0
CHN,2025,regular,,Dalian Yingbo,Yunnan Yukun,3,2
CHN,2025,regular,,Dalian Yingbo,Zhejiang,1,0
CHN,2025,regular,,Henan,Beijing Guoan,2,0
CHN,2025,regular,,Henan,Changchun Yatai,2,0
CHN,2025,regular,,Henan,Chengdu Rongcheng,3,2
CHN,2025,regular,,Henan,Dalian Yingbo,4,0
CHN,2025,regular,,Henan,Meizhou Hakka,1,1
CHN,2025,regular,,Henan,Qingdao Hainiu,3,1
CHN,2025,regular,,Henan,Qingdao West Coast,2,3
CHN,2025,regular,,Henan,Shandong Taishan,2,2
CHN,2025,regular,,Henan,Shanghai Port,1,3
CHN,2025,regular,,Henan,Shanghai Shenhua,1,3
CHN,2025,regular,,Henan,Shenzhen Peng City,4,1
